SEKVENS;KODE;NIVEAU;TITEL;GENERELLE_NOTER;INKLUDERER;INKLUDERER_OGSÅ;EKSKLUDERER;PARAGRAF;MÅLEENHED
163;1290;3;Kristianstad;;;;;;
164;1291;3;Simrishamn;;;;;;
165;1292;3;Ängelholm;;;;;;
166;1293;3;Hässleholm;;;;;;
167;23;1;West Sweden;;;;;;
168;231;2;Hallands län;;;;;;
169;1315;3;Hylte;;;;;;
170;1380;3;Halmstad;;;;;;
171;1381;3;Laholm;;;;;;
172;1382;3;Falkenberg;;;;;;
173;1383;3;Varberg;;;;;;
174;1384;3;Kungsbacka;;;;;;
175;232;2;Västra Götalands län;;;;;;
176;1401;3;Härryda;;;;;;
177;1402;3;Partille;;;;;;
178;1407;3;Öckerö;;;;;;
179;1415;3;Stenungsund;;;;;;
180;1419;3;Tjörn;;;;;;
181;1421;3;Orust;;;;;;
182;1427;3;Sotenäs;;;;;;
183;1430;3;Munkedal;;;;;;
184;1435;3;Tanum;;;;;;
185;1438;3;Dals-Ed;;;;;;
186;1439;3;Färgelanda;;;;;;
187;1440;3;Ale;;;;;;
188;1441;3;Lerum;;;;;;
189;1442;3;Vårgårda;;;;;;
190;1443;3;Bollebygd;;;;;;
191;1444;3;Grästorp;;;;;;
192;1445;3;Essunga;;;;;;
193;1446;3;Karlsborg;;;;;;
194;1447;3;Gullspång;;;;;;
195;1452;3;Tranemo;;;;;;
196;1460;3;Bengtsfors;;;;;;
197;1461;3;Mellerud;;;;;;
198;1462;3;Lilla Edet;;;;;;
199;1463;3;Mark;;;;;;
200;1465;3;Svenljunga;;;;;;
201;1466;3;Herrljunga;;;;;;
202;1470;3;Vara;;;;;;
203;1471;3;Götene;;;;;;
204;1472;3;Tibro;;;;;;
205;1473;3;Töreboda;;;;;;
206;1480;3;Göteborg;;;;;;
207;1481;3;Mölndal;;;;;;
208;1482;3;Kungälv;;;;;;
209;1484;3;Lysekil;;;;;;
210;1485;3;Uddevalla;;;;;;
211;1486;3;Strömstad;;;;;;
212;1487;3;Vänersborg;;;;;;
213;1488;3;Trollhättan;;;;;;
214;1489;3;Alingsås;;;;;;
215;1490;3;Borås;;;;;;
216;1491;3;Ulricehamn;;;;;;
217;1492;3;Åmål;;;;;;
218;1493;3;Mariestad;;;;;;
219;1494;3;Lidköping;;;;;;
220;1495;3;Skara;;;;;;
221;1496;3;Skövde;;;;;;
222;1497;3;Hjo;;;;;;
223;1498;3;Tidaholm;;;;;;
224;1499;3;Falköping;;;;;;
225;31;1;North Middle Sweden;;;;;;
226;311;2;Värmlands län;;;;;;
227;1715;3;Kil;;;;;;
228;1730;3;Eda;;;;;;
229;1737;3;Torsby;;;;;;
230;1760;3;Storfors;;;;;;
231;1761;3;Hammarö;;;;;;
232;1762;3;Munkfors;;;;;;
233;1763;3;Forshaga;;;;;;
234;1764;3;Grums;;;;;;
235;1765;3;Årjäng;;;;;;
236;1766;3;Sunne;;;;;;
237;1780;3;Karlstad;;;;;;
238;1781;3;Kristinehamn;;;;;;
239;1782;3;Filipstad;;;;;;
240;1783;3;Hagfors;;;;;;
241;1784;3;Arvika;;;;;;
242;1785;3;Säffle;;;;;;
243;312;2;Dalarnas län;;;;;;
244;2021;3;Vansbro;;;;;;
245;2023;3;Malung-Sälen;;;;;;
246;2026;3;Gagnef;;;;;;
247;2029;3;Leksand;;;;;;
248;2031;3;Rättvik;;;;;;
249;2034;3;Orsa;;;;;;
250;2039;3;Älvdalen;;;;;;
251;2061;3;Smedjebacken;;;;;;
252;2062;3;Mora;;;;;;
253;2080;3;Falun;;;;;;
254;2081;3;Borlänge;;;;;;
255;2082;3;Säter;;;;;;
256;2083;3;Hedemora;;;;;;
257;2084;3;Avesta;;;;;;
258;2085;3;Ludvika;;;;;;
259;313;2;Gävleborgs län;;;;;;
260;2101;3;Ockelbo;;;;;;
261;2104;3;Hofors;;;;;;
262;2121;3;Ovanåker;;;;;;
263;2132;3;Nordanstig;;;;;;
264;2161;3;Ljusdal;;;;;;
265;2180;3;Gävle;;;;;;
266;2181;3;Sandviken;;;;;;
267;2182;3;Söderhamn;;;;;;
268;2183;3;Bollnäs;;;;;;
269;2184;3;Hudiksvall;;;;;;
270;32;1;Middle Norrland;;;;;;
271;321;2;Västernorrlands län;;;;;;
272;2260;3;Ånge;;;;;;
273;2262;3;Timrå;;;;;;
274;2280;3;Härnösand;;;;;;
275;2281;3;Sundsvall;;;;;;
276;2282;3;Kramfors;;;;;;
277;2283;3;Sollefteå;;;;;;
278;2284;3;Örnsköldsvik;;;;;;
279;322;2;Jämtlands län;;;;;;
280;2303;3;Ragunda;;;;;;
281;2305;3;Bräcke;;;;;;
282;2309;3;Krokom;;;;;;
283;2313;3;Strömsund;;;;;;
284;2321;3;Åre;;;;;;
285;2326;3;Berg;;;;;;
286;2361;3;Härjedalen;;;;;;
287;2380;3;Östersund;;;;;;
288;33;1;Upper Norrland;;;;;;
289;331;2;Västerbottens län;;;;;;
290;2401;3;Nordmaling;;;;;;
291;2403;3;Bjurholm;;;;;;
292;2404;3;Vindeln;;;;;;
293;2409;3;Robertsfors;;;;;;
294;2417;3;Norsjö;;;;;;
295;2418;3;Malå;;;;;;
296;2421;3;Storuman;;;;;;
297;2422;3;Sorsele;;;;;;
298;2425;3;Dorotea;;;;;;
299;2460;3;Vännäs;;;;;;
300;2462;3;Vilhelmina;;;;;;
301;2463;3;Åsele;;;;;;
302;2480;3;Umeå;;;;;;
303;2481;3;Lycksele;;;;;;
304;2482;3;Skellefteå;;;;;;
305;332;2;Norrbottens län;;;;;;
306;2505;3;Arvidsjaur;;;;;;
307;2506;3;Arjeplog;;;;;;
308;2510;3;Jokkmokk;;;;;;
309;2513;3;Överkalix;;;;;;
310;2514;3;Kalix;;;;;;
311;2518;3;Övertorneå;;;;;;
312;2521;3;Pajala;;;;;;
313;2523;3;Gällivare;;;;;;
314;2560;3;Älvsbyn;;;;;;
315;2580;3;Luleå;;;;;;
316;2581;3;Piteå;;;;;;
317;2582;3;Boden;;;;;;
318;2583;3;Haparanda;;;;;;
319;2584;3;Kiruna;;;;;;
